,stationCode,stationName,Level,Open,Line,max,min,mean,sum
0,900,基隆,一等,1891-10-20,縱貫線、基隆捷運（規劃中）,20685,6897,13492.571038251366,4938281
1,910,三坑,簡易,2003-05-09,縱貫線,3202,1417,2522.655737704918,923292
2,920,八堵,二等,1899-07-20,縱貫線、宜蘭線,5952,2152,4175.448087431694,1528214
3,930,七堵,一等,1891-10-20,縱貫線,15654,5223,11144.581967213115,4078917
4,940,百福,簡易,2007-05-08,縱貫線,6675,2344,4857.756830601093,1777939
5,950,五堵,簡易,1902-06-01,縱貫線,4623,1588,3547.207650273224,1298278
6,960,汐止,二等,1891-10-20,縱貫線,25354,9087,19208.5,7030311
7,970,汐科,簡易,2007-12-30,縱貫線、民生汐止線(規劃中)基隆捷運線(規劃中),24501,5519,17622.25956284153,6449747
8,980,南港,一等,1899-07-20,臺灣鐵路縱貫線、北宜直線鐵路（規劃中）、基隆捷運（規劃中）、臺灣高鐵、板南線,29752,9400,21033.33879781421,7698202
9,990,松山,一等,1891-10-20,臺灣鐵路縱貫線、松山新店線、環狀線（規劃中）,41747,12679,29860.24043715847,10928848
10,1000,臺北,特等,1891-10-20,臺鐵縱貫線、臺灣高鐵、淡水信義線、板南線、機場線,153732,54827,105498.22950819672,38612352
11,1010,萬華,一等,1901-08-25,縱貫線,10371,3847,7955.464480874317,2911700
12,1020,板橋,一等,1901-08-25,臺灣鐵路縱貫線、臺灣高鐵、板南線（板橋線）、環狀線,90544,24591,41661.420765027324,15248080
13,1030,浮洲,簡易,2011-09-02,縱貫線、泰山板橋輕軌,7260,2305,5246.163934426229,1920096
14,1040,樹林,一等,1901-08-25,縱貫線,34217,15590,27085.94262295082,9913455
15,1050,南樹林,簡易,2015-12-23,縱貫線,2750,1076,2140.8169398907103,783539
16,1060,山佳,三等,1903-10-07,縱貫線,3668,1694,2994.311475409836,1095918
17,1070,鶯歌,二等,1903-10-07,縱貫線、三鶯線（興建中）三鶯纜車（全案暫緩）,20493,7390,15798.22131147541,5782149
18,1080,桃園,一等,1893-10-30,縱貫線、綠線（興建中）、棕線（規劃中）,72977,27146,51193.002732240435,18736639
19,1090,內壢,三等,1902-06-01,縱貫線,23464,7909,16966.72131147541,6209820
20,1100,中壢,一等,1893-10-30,縱貫線、機場線（興建中）,76976,26170,47975.188524590165,17558919
21,1110,埔心,三等,1900-04-10,縱貫線,14889,4666,10687.426229508197,3911598
22,1120,楊梅,三等,1893-10-30,縱貫線,13316,4296,9347.218579234972,3421082
23,1130,富岡,三等,1929-10-01,縱貫線,6383,1839,3260.8688524590166,1193478
24,1140,新富,招呼,2017-09-06,縱貫線,278,71,150.05464480874318,54920
25,1150,北湖,甲簡,2012-09-28,縱貫線,2303,583,1394.655737704918,510444
26,1160,湖口,三等,1929-11-01,縱貫線,9588,3575,6686.975409836065,2447433
27,1170,新豐,三等,1893-11-30,縱貫線,15402,5579,10028.22950819672,3670332
28,1180,竹北,三等,1897-09-10,縱貫線,13715,4604,9446.06830601093,3457261
29,1190,北新竹,簡易,2011-11-11,縱貫線、內灣線,6354,1696,4206.789617486339,1539685
30,1191,千甲,簡易,2011-11-11,內灣線,1052,346,606.9617486338798,222148
31,1192,新莊,簡易,2011-11-11,內灣線,5738,1453,3237.377049180328,1184880
32,1193,竹中,甲簡,1947-11-05,內灣線、六家線,2025,655,1215.620218579235,444917
33,1194,六家,乙簡,2011-11-11,六家線,9440,2391,5150.4890710382515,1885079
34,1201,上員,招呼,1970-02-06,內灣線,335,56,102.1775956284153,37397
35,1202,榮華,招呼,2001-11-24,內灣線,808,109,240.05737704918033,87861
36,1203,竹東,二等,1947-11-05,內灣線,1729,467,882.0737704918033,322839
37,1204,橫山,招呼,1950-12-27,內灣線,314,102,168.89617486338798,61816
